source,go-ipfs,js-ipfs,command,Chunker,CidVer,Inlining,RawLeaves,Trickle
../testdata/repeat_0.04GiB_175_1.zst,bafybeiafqiglaykk4xs6czgf3vszfrbkv7mxtr2x6iolbassc2tstlwuqu,bafybeifamqozwjfgxme4q6ppxna4nzbx77qst4evtyd53kamxgumugsw7m, add --chunker=rabin-262141 --trickle=false --raw-leaves=false --cid-version=1 ../testdata/repeat_0.04GiB_175_1.zst,"rabin-262141","1","0","false","false"
../testdata/repeat_0.04GiB_175_1.zst,bafybeibrlj4wsmtoktzdkpptznjghfm7tgq4xbrkzy74qofgiwdhh4lbje,bafybeiczs3mltr3ex5eszsam6asxb6o3yzbzq74an7ybdwfd3btbua7yge, add --chunker=rabin-262141 --trickle=true --raw-leaves=false --cid-version=1 ../testdata/repeat_0.04GiB_175_1.zst,"rabin-262141","1","0","false","true"
../testdata/repeat_0.04GiB_175_1.zst,bafybeibaht2jnyvgczbhxlomxa6h2hjprxp6t7vgjde3yfqz4za36gd6vu,bafybeigdosbtqahmfa4v3l2w4d66ayijgl3l4nby2siz6vewx7wkslgb5i, add --chunker=rabin --trickle=false --raw-leaves=true --cid-version=1 ../testdata/repeat_0.04GiB_175_1.zst,"rabin","1","0","true","false"
../testdata/repeat_0.04GiB_175_1.zst,bafybeibaht2jnyvgczbhxlomxa6h2hjprxp6t7vgjde3yfqz4za36gd6vu,bafybeibcvkpyzwlkseu5no364tqeh5v2kj4465gbtemnbq7f2wqzry5mqe, add --chunker=rabin --trickle=true --raw-leaves=true --cid-version=1 ../testdata/repeat_0.04GiB_175_1.zst,"rabin","1","0","true","true"
../testdata/repeat_0.04GiB_175_1.zst,bafybeido5aipcy7xavicw4fhgtb33zo7iyehblsqkmvs3oaybhefb5ak3m,bafybeigdosbtqahmfa4v3l2w4d66ayijgl3l4nby2siz6vewx7wkslgb5i, add --chunker=rabin-262141 --trickle=false --raw-leaves=true --cid-version=1 ../testdata/repeat_0.04GiB_175_1.zst,"rabin-262141","1","0","true","false"
../testdata/repeat_0.04GiB_175_1.zst,bafybeido5aipcy7xavicw4fhgtb33zo7iyehblsqkmvs3oaybhefb5ak3m,bafybeibcvkpyzwlkseu5no364tqeh5v2kj4465gbtemnbq7f2wqzry5mqe, add --chunker=rabin-262141 --trickle=true --raw-leaves=true --cid-version=1 ../testdata/repeat_0.04GiB_175_1.zst,"rabin-262141","1","0","true","true"
../testdata/repeat_0.04GiB_175.zst,bafybeibckjim66243czixqzpie4bg5qbijfgulkaljchg4ql3b3v4ikxom,bafybeicydhnywd6ygplpwfydaocftt4bmzslrgbuenqyfpaivylodlgohm, add --chunker=rabin --trickle=false --raw-leaves=false --cid-version=1 ../testdata/repeat_0.04GiB_175.zst,"rabin","1","0","false","false"
../testdata/repeat_0.04GiB_175.zst,bafybeib6qcztaxolula56ji242v4iibldmdc7by4msd3uez42wlrns3ouu,bafybeid62l4qrdbseo3a7iw2gh7htee6hsewb6wruvwjppgh6mkrtadwku, add --chunker=rabin --trickle=true --raw-leaves=false --cid-version=1 ../testdata/repeat_0.04GiB_175.zst,"rabin","1","0","false","true"
../testdata/repeat_0.04GiB_175.zst,bafybeiaxbiniupeuqimvrstmhyglegs5qlm7rsvmcc3ulyl2onbt4vylu4,bafybeicydhnywd6ygplpwfydaocftt4bmzslrgbuenqyfpaivylodlgohm, add --chunker=rabin-262141 --trickle=false --raw-leaves=false --cid-version=1 ../testdata/repeat_0.04GiB_175.zst,"rabin-262141","1","0","false","false"
../testdata/repeat_0.04GiB_175.zst,bafybeih2dv3azwyhyaoytgqo63yu2brxu3uh3tkgkmezz2ubdcdhag7wey,bafybeid62l4qrdbseo3a7iw2gh7htee6hsewb6wruvwjppgh6mkrtadwku, add --chunker=rabin-262141 --trickle=true --raw-leaves=false --cid-version=1 ../testdata/repeat_0.04GiB_175.zst,"rabin-262141","1","0","false","true"
